,product,customer name,rating,review,description
70,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,5Very very very good product 🥰tnq flip kart
71,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,4Awesome 👍
72,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,5Color is so pretty 😍😍
73,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
74,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
75,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
76,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
77,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
78,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
79,Mamaearth Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E (Berrylicious Magenta 2 g),Flipkart Customer,NA,NA,NA
80,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,5This is amazing worth it i loved it its just fabulous texture is very good shades are very pretty must try it👌
81,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,5Amazing product. Looking very cute and also easy to travel it’s pocket friendly and smells very nice 👌
82,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,5Mini lipsticks.. vegan and affordable. It’s portable and perfect travel kit for me. The best part is.. it comes in all shades.
83,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,NA
84,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,NA
85,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,NA
86,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,NA
87,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,NA
88,Just Herbs Enriched Liquid Lipstick Kit Set Of 5 Brights & Pinks (Pink 5 ml),Flipkart Customer,NA,NA,NA
